### list1 ###,,,,
id,type,wordfn,primefn,is_word
1,cognate,01_target_n.wav,01_related.wav,yes
2,cognate,02_target.wav,02_unrelated.wav,yes
3,cognate,03_target_n.wav,03_unrelated.wav,yes
4,cognate,04_target.wav,04_related.wav,yes
5,cognate,05_target_n.wav,05_related.wav,yes
6,cognate,06_target.wav,06_unrelated.wav,yes
7,cognate,07_target_n.wav,07_unrelated.wav,yes
8,cognate,08_target.wav,08_related.wav,yes
9,cognate,09_target_n.wav,09_related.wav,yes
10,cognate,10_target.wav,10_unrelated.wav,yes
11,cognate,11_target_n.wav,11_unrelated.wav,yes
12,cognate,12_target.wav,12_related.wav,yes
13,cognate,13_target_n.wav,13_related.wav,yes
14,cognate,14_target.wav,14_unrelated.wav,yes
15,cognate,15_target_n.wav,15_unrelated.wav,yes
16,cognate,16_target.wav,16_related.wav,yes
17,cognate,17_target_n.wav,17_related.wav,yes
18,cognate,18_target.wav,18_unrelated.wav,yes
19,cognate,19_target_n.wav,19_unrelated.wav,yes
20,cognate,20_target.wav,20_related.wav,yes
21,cognate,21_target_n.wav,21_related.wav,yes
22,cognate,22_target.wav,22_unrelated.wav,yes
23,cognate,23_target_n.wav,23_unrelated.wav,yes
24,cognate,24_target.wav,24_related.wav,yes
25,cognate,25_target_n.wav,25_related.wav,yes
26,cognate,26_target.wav,26_unrelated.wav,yes
27,cognate,27_target_n.wav,27_unrelated.wav,yes
28,cognate,28_target.wav,28_related.wav,yes
29,cognate,29_target_n.wav,29_related.wav,yes
30,cognate,30_target.wav,30_unrelated.wav,yes
31,cognate,31_target_n.wav,31_unrelated.wav,yes
32,cognate,32_target.wav,32_related.wav,yes
33,cognate,33_target_n.wav,33_related.wav,yes
34,cognate,34_target.wav,34_unrelated.wav,yes
35,cognate,35_target_n.wav,35_unrelated.wav,yes
36,cognate,36_target.wav,36_related.wav,yes
37,cognate,37_target_n.wav,37_related.wav,yes
38,cognate,38_target.wav,38_unrelated.wav,yes
39,cognate,39_target_n.wav,39_unrelated.wav,yes
40,cognate,40_target.wav,40_related.wav,yes
41,cognate,41_target_n.wav,41_related.wav,yes
42,cognate,42_target.wav,42_unrelated.wav,yes
43,cognate,43_target_n.wav,43_unrelated.wav,yes
44,cognate,44_target.wav,44_related.wav,yes
45,cognate,45_target_n.wav,45_related.wav,yes
46,cognate,46_target.wav,46_unrelated.wav,yes
47,cognate,47_target_n.wav,47_unrelated.wav,yes
48,cognate,48_target.wav,48_related.wav,yes
49,noncognate,49_target_n.wav,49_related.wav,yes
50,noncognate,50_target.wav,50_unrelated.wav,yes
51,noncognate,51_target_n.wav,51_unrelated.wav,yes
52,noncognate,52_target.wav,52_related.wav,yes
53,noncognate,53_target_n.wav,53_related.wav,yes
54,noncognate,54_target.wav,54_unrelated.wav,yes
55,noncognate,55_target_n.wav,55_unrelated.wav,yes
56,noncognate,56_target.wav,56_related.wav,yes
57,noncognate,57_target_n.wav,57_related.wav,yes
58,noncognate,58_target.wav,58_unrelated.wav,yes
59,noncognate,59_target_n.wav,59_unrelated.wav,yes
60,noncognate,60_target.wav,60_related.wav,yes
61,noncognate,61_target_n.wav,61_related.wav,yes
62,noncognate,62_target.wav,62_unrelated.wav,yes
63,noncognate,63_target_n.wav,63_unrelated.wav,yes
64,noncognate,64_target.wav,64_related.wav,yes
65,noncognate,65_target_n.wav,65_related.wav,yes
66,noncognate,66_target.wav,66_unrelated.wav,yes
67,noncognate,67_target_n.wav,67_unrelated.wav,yes
68,noncognate,68_target.wav,68_related.wav,yes
69,noncognate,69_target_n.wav,69_related.wav,yes
70,noncognate,70_target.wav,70_unrelated.wav,yes
71,noncognate,71_target_n.wav,71_unrelated.wav,yes
72,noncognate,72_target.wav,72_related.wav,yes
73,noncognate,73_target_n.wav,73_related.wav,yes
74,noncognate,74_target.wav,74_unrelated.wav,yes
75,noncognate,75_target_n.wav,75_unrelated.wav,yes
76,noncognate,76_target.wav,76_related.wav,yes
77,noncognate,77_target_n.wav,77_related.wav,yes
78,noncognate,78_target.wav,78_unrelated.wav,yes
79,noncognate,79_target_n.wav,79_unrelated.wav,yes
80,noncognate,80_target.wav,80_related.wav,yes
81,noncognate,81_target_n.wav,81_related.wav,yes
82,noncognate,82_target.wav,82_unrelated.wav,yes
83,noncognate,83_target_n.wav,83_unrelated.wav,yes
84,noncognate,84_target.wav,84_related.wav,yes
85,noncognate,85_target_n.wav,85_related.wav,yes
86,noncognate,86_target.wav,86_unrelated.wav,yes
87,noncognate,87_target_n.wav,87_unrelated.wav,yes
88,noncognate,88_target.wav,88_related.wav,yes
89,noncognate,89_target_n.wav,89_related.wav,yes
90,noncognate,90_target.wav,90_unrelated.wav,yes
91,noncognate,91_target_n.wav,91_unrelated.wav,yes
92,noncognate,92_target.wav,92_related.wav,yes
93,noncognate,93_target_n.wav,93_related.wav,yes
94,noncognate,94_target.wav,94_unrelated.wav,yes
95,noncognate,95_target_n.wav,95_unrelated.wav,yes
96,noncognate,96_target.wav,96_related.wav,yes
97,pseudoword,97_target_n.wav,97_related.wav,no
98,pseudoword,98_target.wav,98_unrelated.wav,no
99,pseudoword,99_target_n.wav,99_unrelated.wav,no
100,pseudoword,100_target.wav,100_related.wav,no
101,pseudoword,101_target_n.wav,101_related.wav,no
102,pseudoword,102_target.wav,102_unrelated.wav,no
103,pseudoword,103_target_n.wav,103_unrelated.wav,no
104,pseudoword,104_target.wav,104_related.wav,no
105,pseudoword,105_target_n.wav,105_related.wav,no
106,pseudoword,106_target.wav,106_unrelated.wav,no
107,pseudoword,107_target_n.wav,107_unrelated.wav,no
108,pseudoword,108_target.wav,108_related.wav,no
109,pseudoword,109_target_n.wav,109_related.wav,no
110,pseudoword,110_target.wav,110_unrelated.wav,no
111,pseudoword,111_target_n.wav,111_unrelated.wav,no
112,pseudoword,112_target.wav,112_related.wav,no
113,pseudoword,113_target_n.wav,113_related.wav,no
114,pseudoword,114_target.wav,114_unrelated.wav,no
115,pseudoword,115_target_n.wav,115_unrelated.wav,no
116,pseudoword,116_target.wav,116_related.wav,no
117,pseudoword,117_target_n.wav,117_related.wav,no
118,pseudoword,118_target.wav,118_unrelated.wav,no
119,pseudoword,119_target_n.wav,119_unrelated.wav,no
120,pseudoword,120_target.wav,120_related.wav,no
121,pseudoword,121_target_n.wav,121_related.wav,no
122,pseudoword,122_target.wav,122_unrelated.wav,no
123,pseudoword,123_target_n.wav,123_unrelated.wav,no
124,pseudoword,124_target.wav,124_related.wav,no
125,pseudoword,125_target_n.wav,125_related.wav,no
126,pseudoword,126_target.wav,126_unrelated.wav,no
127,pseudoword,127_target_n.wav,127_unrelated.wav,no
128,pseudoword,128_target.wav,128_related.wav,no
129,pseudoword,129_target_n.wav,129_related.wav,no
130,pseudoword,130_target.wav,130_unrelated.wav,no
131,pseudoword,131_target_n.wav,131_unrelated.wav,no
132,pseudoword,132_target.wav,132_related.wav,no
